ticker,feature,importance
NVDA,dist_from_sma_20,0.03902529925107956
NVDA,lower_shadow,0.038373857736587524
NVDA,atr_14_pct,0.03759901598095894
NVDA,rsi_14,0.034958042204380035
NVDA,dist_from_ema_26,0.03414619714021683
NVDA,dist_from_ema_12,0.03354581445455551
NVDA,gap,0.03344283252954483
NVDA,volume_ratio,0.03331070765852928
NVDA,return_1d,0.03321189805865288
NVDA,body,0.0327298603951931
NVDA,log_return_1d,0.03238258883357048
NVDA,return_5d,0.03187264874577522
NVDA,roc_5,0.031526271253824234
NVDA,parkinson_vol_30d,0.031284742057323456
NVDA,parkinson_vol_20d,0.031220214441418648
NVDA,plus_di,0.031155867502093315
NVDA,dist_from_sma_10,0.030981549993157387
NVDA,daily_range,0.03060757741332054
NVDA,log_return_20d,0.03040194883942604
NVDA,volatility_30d,0.030265476554632187
NVDA,bb_width,0.03004521131515503
NVDA,volatility_20d,0.029633909463882446
NVDA,dist_from_sma_100,0.029437953606247902
NVDA,log_return_5d,0.02884303778409958
NVDA,stoch_d,0.028559865429997444
