ticker,model,cost_bps_per_side,strategy_total_return_pct,strategy_annualized_pct,strategy_sharpe,strategy_max_drawdown_pct,buy_hold_total_return_pct,buy_hold_sharpe,excess_vs_buy_hold_pct,turnover
NVDA,Ridge / Logistic,0,204.93960844140173,40.925269274111706,1.0164693775141749,47.906654984017756,587.9011709098054,1.467694981419778,-382.96156246840366,328.0
NVDA,Ridge / Logistic,5,158.84637875348702,33.995395514783965,0.8442821262142907,50.43440039447332,587.221224825109,1.4667132186166838,-428.37484607162196,328.0
NVDA,Ridge / Logistic,10,119.70237490099152,27.403078897390508,0.6804419773988762,52.84067114157506,586.5416149039941,1.4657305027489624,-466.83924000300254,328.0
NVDA,Ridge / Logistic,20,58.23885526647346,15.166751709570136,0.37636694760556555,57.311639777544066,585.1834035525021,1.4637622170598525,-526.9445482860286,328.0
NVDA,Random Forest,0,527.9444109408897,76.00062707771494,1.6963848993244683,51.83934814482429,587.9011709098054,1.467694981419778,-59.95675996891566,284.0
NVDA,Random Forest,5,445.067712595063,68.5000913471012,1.5294184079844255,54.12066728548783,587.221224825109,1.4667132186166838,-142.15351223004592,284.0
NVDA,Random Forest,10,373.0957474184,61.3156970223375,1.3693167943066826,56.294984999812016,586.5416149039941,1.4657305027489624,-213.44586748559408,284.0
NVDA,Random Forest,20,256.33139177382736,47.84316683243972,1.068694869427462,60.34226312848779,585.1834035525021,1.4637622170598525,-328.85201177867475,284.0
NVDA,XGBoost,0,242.24652055968497,46.019888606045846,1.1431677865130996,41.287751473498155,587.9011709098054,1.467694981419778,-345.6546503501204,264.0
NVDA,XGBoost,5,200.0021770198619,40.21920795575118,0.9992883789720779,43.73472592461713,587.221224825109,1.4667132186166838,-387.21904780524704,264.0
NVDA,XGBoost,10,162.95485189169074,34.64623430714568,0.8609330902072213,46.080867724847025,586.5416149039941,1.4657305027489624,-423.5867630123033,264.0
NVDA,XGBoost,20,101.98024361157954,24.148420185530984,0.6000721359000333,50.48691816898212,585.1834035525021,1.4637622170598525,-483.20315994092255,264.0
