model,threshold,n_round_trips,round_trips_per_year,implied_annual_cost_drag,test_cost_drag
ridge,0.0,57,57.22709163346614,0.08584063745019921,0.20510322840537665
random_forest,0.0,29,29.115537848605577,0.043673306772908364,0.09946174690155818
xgboost,0.0005,41,41.16334661354582,0.06174501992031873,0.09753424053054283
