ticker,model,cost_bps_per_side,strategy_total_return_pct,strategy_annualized_pct,strategy_sharpe,strategy_max_drawdown_pct,buy_hold_total_return_pct,buy_hold_sharpe,excess_vs_buy_hold_pct,turnover
SPY,Ridge / Logistic,0,140.110389294806,15.044471224126177,1.0181508662603342,15.607429058802138,130.64842317473722,0.7178264465193189,9.46196612006878,538.0
SPY,Ridge / Logistic,5,83.48024146234255,10.19814614633967,0.6896671869378943,15.928418213027525,130.41825353908735,0.7169499035067639,-46.9380120767448,538.0
SPY,Ridge / Logistic,10,40.18747453049367,5.553703057816817,0.37506256136250093,17.018851669269242,130.18819880631284,0.7160714778901914,-90.00072427581918,538.0
SPY,Ridge / Logistic,20,-18.196201615073193,-3.162458487629116,-0.21257903561304548,28.18772122729321,129.72843404939022,0.7143089974039596,-147.9246356644634,538.0
SPY,Random Forest,0,82.05292443565969,10.060536515578722,0.5445669620266776,31.904260699568027,130.64842317473722,0.7178264465193189,-48.59549873907753,332.0
SPY,Random Forest,5,54.21156380504707,7.176287805051285,0.38838789356734965,32.24357630777026,130.41825353908735,0.7169499035067639,-76.20668973404028,332.0
SPY,Random Forest,10,30.61713967536141,4.366237506978821,0.23619769600377902,32.58136945490925,130.18819880631284,0.7160714778901914,-99.57105913095143,332.0
SPY,Random Forest,20,-6.317532816479768,-1.038713810226377,-0.0560881558336807,33.34321381421634,129.72843404939022,0.7143089974039596,-136.04596686586999,332.0
SPY,XGBoost,0,86.37524537518588,10.474518281150536,0.5880724983746679,32.54495891467567,130.64842317473722,0.7178264465193189,-44.273177799551334,394.0
SPY,XGBoost,5,53.062489264789214,7.0481098911988616,0.39576286425029067,32.81415235193669,130.41825353908735,0.7169499035067639,-77.35576427429814,394.0
SPY,XGBoost,10,25.691685638793118,3.726338583863953,0.20919362208772835,33.082405335665946,130.18819880631284,0.7160714778901914,-104.49651316751972,394.0
SPY,XGBoost,20,-15.266793637448675,-2.615781705681841,-0.14661922436789998,38.64670003647463,129.72843404939022,0.7143089974039596,-144.9952276868389,394.0
AAPL,Ridge / Logistic,0,434.4586986484618,30.757396255668866,1.4901445633341077,20.678423608310254,351.0960984273046,0.8702092535725402,83.36260022115721,590.0
AAPL,Ridge / Logistic,5,298.04890286939934,24.735430135867542,1.1986998093795909,21.471863754300404,350.6462795882084,0.8695601685290741,-52.59737671880907,590.0
AAPL,Ridge / Logistic,10,196.41129497023303,18.987998634088356,0.9200931432566254,22.25776036976504,350.1966851320945,0.8689101590410379,-153.78539016186147,590.0
AAPL,Ridge / Logistic,20,64.29306668859894,8.267741610567292,0.40013992894074113,25.076175490310444,349.29816936880724,0.867607372359763,-285.0051026802083,590.0
