ticker,model,is_baseline,n,accuracy,ci_lower,ci_upper,p_vs_0.5,precision_up,recall_up,pred_up_rate,actual_up_rate,reference_rate,p_vs_reference
SPY,Ridge / Logistic,False,1575,0.5155555555555555,0.49086645065098955,0.5401689644163347,0.2264647089641293,0.5463636363636364,0.6947976878612717,0.6984126984126984,0.5492063492063493,0.5506873686499566,0.005321737050163403
SPY,Random Forest,False,1575,0.5187301587301587,0.49403868869917117,0.543330484545158,0.14386444180983848,0.542292490118577,0.793063583815029,0.8031746031746032,0.5492063492063493,0.5506873686499566,0.011296692293189449
SPY,XGBoost,False,1575,0.506031746031746,0.48135569408333456,0.5306784464529748,0.6501611821277111,0.5424390243902439,0.6427745664739885,0.6507936507936508,0.5492063492063493,0.5506873686499566,0.00038869587292922336
SPY,Baseline: always up,True,1575,0.5492063492063493,0.5245428900946443,0.5736303616489327,0.00010303493740754945,0.5492063492063493,1.0,1.0,0.5492063492063493,0.5506873686499566,0.9193078750947616
AAPL,Ridge / Logistic,False,1575,0.526984126984127,0.5022911610845393,0.5515457834200028,0.034260602438215645,0.5514112903225806,0.6458087367178277,0.6298412698412699,0.5377777777777778,0.5318096323691404,0.7049485767364376
AAPL,Random Forest,False,1575,0.5511111111111111,0.5264524675056554,0.5755210391441243,5.462855888667973e-05,0.5542635658914729,0.8441558441558441,0.819047619047619,0.5377777777777778,0.5318096323691404,0.12976987876114698
AAPL,XGBoost,False,1575,0.5092063492063492,0.48452495381051197,0.5338429449028025,0.48048986231419966,0.5372983870967742,0.6292798110979929,0.6298412698412699,0.5377777777777778,0.5318096323691404,0.07305193467131738
AAPL,Baseline: always up,True,1575,0.5377777777777778,0.5130930202583642,0.5622787020479948,0.00293412460588665,0.5377777777777778,1.0,1.0,0.5377777777777778,0.5318096323691404,0.6495052792358986
MSFT,Ridge / Logistic,False,1575,0.5098412698412699,0.4851589248237934,0.5344757255249221,0.4497020977402514,0.5367063492063492,0.6394799054373522,0.64,0.5371428571428571,0.5452706751113343,0.00496584035138809
MSFT,Random Forest,False,1575,0.532063492063492,0.5073729517263631,0.5565980058613867,0.011719579972308405,0.5505097312326228,0.7021276595744681,0.6850793650793651,0.5371428571428571,0.5452706751113343,0.2995812883838377
MSFT,XGBoost,False,1575,0.5295238095238095,0.5048317373601598,0.5540722136859861,0.02041026737278184,0.5549738219895288,0.6264775413711584,0.6063492063492063,0.5371428571428571,0.5452706751113343,0.21506251511774718
MSFT,Baseline: always up,True,1575,0.5371428571428571,0.5124572971808347,0.5616476734901233,0.003454602814850194,0.5371428571428571,1.0,1.0,0.5371428571428571,0.5452706751113343,0.5270606593437986
NVDA,Ridge / Logistic,False,1575,0.5301587301587302,0.5054669811081447,0.5547037215734023,0.017828741473147877,0.5528233151183971,0.7091121495327103,0.6971428571428572,0.5434920634920635,0.5490307001759817,0.13522056245749836
NVDA,Random Forest,False,1575,0.533968253968254,0.5092792816069666,0.5584919308869866,0.007544174285750866,0.5453194650817236,0.8574766355140186,0.8546031746031746,0.5434920634920635,0.5490307001759817,0.23406312824140962
NVDA,XGBoost,False,1575,0.5257142857142857,0.5010211120569764,0.5502823291767637,0.043785599219105534,0.5489667565139263,0.7137850467289719,0.7066666666666667,0.5434920634920635,0.5490307001759817,0.06454633784180373
NVDA,Baseline: always up,True,1575,0.5434920634920635,0.5188163300200139,0.5679561570049538,0.0006061866659945495,0.5434920634920635,1.0,1.0,0.5434920634920635,0.5490307001759817,0.6669139566996825
JPM,Ridge / Logistic,False,1575,0.518095238095238,0.49340416159927375,0.5426982600096543,0.1582029426566999,0.5365269461077844,0.5463414634146342,0.5301587301587302,0.5206349206349207,0.5107797101371114,0.562262021462367
JPM,Random Forest,False,1575,0.5314285714285715,0.5067375882818727,0.5559666176704764,0.013509990577799325,0.541,0.6597560975609756,0.6349206349206349,0.5206349206349207,0.5107797101371114,0.10144358013628035
JPM,XGBoost,False,1575,0.5149206349206349,0.4902321222513057,0.5395365411806176,0.24641050513519233,0.5323325635103926,0.5621951219512196,0.5498412698412698,0.5206349206349207,0.5107797101371114,0.7432665572575046
JPM,Baseline: always up,True,1575,0.5206349206349207,0.49594250855800803,0.5452269195925243,0.10679122302095996,0.5206349206349207,1.0,1.0,0.5206349206349207,0.5107797101371114,0.43476887061816677
POOLED,Ridge / Logistic,False,7875,0.5201269841269841,0.5090856614799084,0.5311486802893506,0.00036894306705733033,0.545201668984701,0.6480869154463864,0.6391111111111111,0.5376507936507936,0.5375156172887049,0.0020333258770629903
POOLED,Random Forest,False,7875,0.5334603174603174,0.522428287074923,0.544459719588798,3.0387160843081998e-09,0.5468227424749164,0.7723193197921587,0.7593650793650794,0.5376507936507936,0.5375156172887049,0.4765064778394802
POOLED,XGBoost,False,7875,0.517079365079365,0.5060370240538561,0.5281050514538117,0.0025254319291935696,0.5435265602908503,0.6355692017005196,0.6286984126984126,0.5376507936507936,0.5375156172887049,0.00028571246840446943
POOLED,Baseline: always up,True,7875,0.5376507936507936,0.5266233135403211,0.5486415592330878,2.486495472525166e-11,0.5376507936507936,1.0,1.0,0.5376507936507936,0.5375156172887049,0.9819696387119612
