ticker,model,level_R2,level_RMSE_usd,return_R2,n
SPY,Ridge,0.9971296144318502,4.736903313226432,-0.05436995631518182,1575
SPY,Random Forest,0.5549838342877417,58.981022210323715,-0.006413273231912431,1575
SPY,Persistence: yhat(t+1) = Close(t),0.9978174456219591,4.130541004368507,-1.286820421536559,1575
AAPL,Ridge,0.9977675609601618,2.5603418230886303,-0.01720561599653525,1575
AAPL,Random Forest,0.6405597946284141,32.487887529836726,0.006941673781325264,1575
AAPL,Persistence: yhat(t+1) = Close(t),0.9980858275463412,2.370820518320211,-1.2015610844239406,1575
MSFT,Ridge,0.9977824628660856,4.599710341067599,-0.04039335878181061,1575
MSFT,Random Forest,0.5821599625052097,63.13934306498904,0.00037565846315945617,1575
MSFT,Persistence: yhat(t+1) = Close(t),0.9980967120337939,4.261350766135017,-1.3479906753175297,1575
NVDA,Ridge,0.9979184935294224,1.4924256678781391,-0.0636270988482357,1575
NVDA,Random Forest,0.3200764554019172,26.9732866218431,-0.007422937139484498,1575
NVDA,Persistence: yhat(t+1) = Close(t),0.9980670263330113,1.4381917592695168,-1.1479050346705848,1575
JPM,Ridge,0.9958942379071032,2.194076890368207,-0.035562861728799966,1575
JPM,Random Forest,0.5700344490509668,22.452865941281942,-0.008794409664117486,1575
JPM,Persistence: yhat(t+1) = Close(t),0.9964246425319574,2.047456518831943,-1.2315226216724127,1575
