ticker,model,is_baseline,n,RMSE,MAE,R2,R2_vs_zero
SPY,Ridge / Logistic,False,1575,0.012925292955643819,0.008739938794205005,-0.05436995631518182,-0.05258925074057341
SPY,Random Forest,False,1575,0.012627926981851185,0.00833292209282556,-0.006413273231912431,-0.004713560796756555
SPY,XGBoost,False,1575,0.012860670437439391,0.008487161630021592,-0.0438532566585601,-0.04209031254006401
SPY,Baseline: zero return,True,1575,0.012598270530598421,0.008315495189862314,-0.0016917383237147199,0.0
SPY,Baseline: train-window mean,True,1575,0.012590277921422553,0.008283865952141202,-0.0004211526619091188,0.0012684397935958103
SPY,Baseline: yesterday's return,True,1575,0.019035308293864222,0.012155767462839397,-1.286820421536559,-1.2829582535675574
AAPL,Ridge / Logistic,False,1575,0.019909524816848715,0.01421560169802437,-0.01720561599653525,-0.0148034832975239
AAPL,Random Forest,False,1575,0.019671790865854164,0.013900415212919225,0.006941673781325264,0.009286782616669598
AAPL,XGBoost,False,1575,0.01979427861078833,0.014061761426466254,-0.005463517775223803,-0.0030891140600568523
AAPL,Baseline: zero return,True,1575,0.01976377587027492,0.013950160265032529,-0.0023670914995341796,0.0
AAPL,Baseline: train-window mean,True,1575,0.01974542652486649,0.013912971052193154,-0.0005066937825217721,0.0018560043848098173
AAPL,Baseline: yesterday's return,True,1575,0.02929016984971106,0.020489863834082946,-1.2015610844239406,-1.1963620943804338
MSFT,Ridge / Logistic,False,1575,0.018871032711445374,0.013433286094207244,-0.04039335878181061,-0.03797371504423941
MSFT,Random Forest,False,1575,0.01849759614306876,0.013026907731340727,0.00037565846315945617,0.0027004856619364803
MSFT,XGBoost,False,1575,0.0188882003433579,0.013400924992502953,-0.04228718355835204,-0.03986313535085473
MSFT,Baseline: zero return,True,1575,0.018522623089756537,0.012985235506760189,-0.0023311223612902943,0.0
MSFT,Baseline: train-window mean,True,1575,0.018504761556341974,0.012943077215929985,-0.0003989404394526552,0.001927688244664827
MSFT,Baseline: yesterday's return,True,1575,0.028349477942097464,0.019479426265929366,-1.3479906753175297,-1.342529951365909
NVDA,Ridge / Logistic,False,1575,0.03432269271566106,0.024914661124600137,-0.0636270988482357,-0.05988272773459369
NVDA,Random Forest,False,1575,0.03340354602440204,0.024234472644309713,-0.007422937139484498,-0.003876426008722511
NVDA,XGBoost,False,1575,0.034222438644318745,0.024685417887928763,-0.05742261982219787,-0.05370009082978955
NVDA,Baseline: zero return,True,1575,0.03333899046024544,0.024321222348755115,-0.0035328164292716124,0.0
NVDA,Baseline: train-window mean,True,1575,0.03331884229830366,0.024205413630497698,-0.002320228302360894,0.0012083193564365047
NVDA,Baseline: yesterday's return,True,1575,0.04877465356135466,0.03561636389815525,-1.1479050346705848,-1.140343593658622
JPM,Ridge / Logistic,False,1575,0.019200575240855108,0.012750861404179836,-0.035562861728799966,-0.03476005341744126
JPM,Random Forest,False,1575,0.01895079091810738,0.01248746999782283,-0.008794409664117486,-0.008012353290274055
JPM,XGBoost,False,1575,0.019402654133534498,0.012864634054212155,-0.057475394439949534,-0.056655598687235464
JPM,Baseline: zero return,True,1575,0.018875323901827515,0.012460660151559463,-0.0007758400691131317,0.0
JPM,Baseline: train-window mean,True,1575,0.018873731054345592,0.012454152834088298,-0.0006069406081545825,0.00016876852357528005
JPM,Baseline: yesterday's return,True,1575,0.028185559066799742,0.017772686648972733,-1.2315226216724127,-1.229792659181605
POOLED,Ridge / Logistic,False,7875,0.022209356482580954,0.014810869823043318,-0.04706324372414228,-0.04495451747260981
POOLED,Random Forest,False,7875,0.021741822932896438,0.01439643753584361,-0.003443382574760845,-0.0014225042606332838
POOLED,XGBoost,False,7875,0.02218834250782374,0.014699979998226344,-0.04508276750042195,-0.042978029816178376
POOLED,Baseline: zero return,True,7875,0.02172637549360236,0.014406554692393924,-0.0020180076895910393,0.0
POOLED,Baseline: train-window mean,True,7875,0.02171260529303488,0.014359896136970068,-0.0007482499840842927,0.0012672004851833618
POOLED,Baseline: yesterday's return,True,7875,0.0322407893240692,0.02110282162199594,-1.206542494722766,-1.2020986427285019
