quantity,n_series,mean_pairwise_corr,design_effect,n_total,n_effective
correctness indicator: always_up,5,0.4053194110127542,2.621277644051017,7875,3004.2601621664508
correctness indicator: boosting,5,0.06342994635783719,1.2537197854313487,7875,6281.3079058894855
correctness indicator: forest,5,0.11853133167410657,1.4741253266964263,7875,5342.15094021089
correctness indicator: linear,5,0.07451478559798873,1.298059142391955,7875,6066.749767262998
realised up/down indicator,5,0.4053194110127542,2.621277644051017,7875,3004.2601621664508
realised log return,5,0.6239334862061419,3.4957339448245675,7875,2252.7458108357855
