ticker,feature,importance
JPM,dist_from_sma_20,0.052904509007930756
JPM,parkinson_vol_10d,0.05077613145112991
JPM,dist_from_sma_200,0.05028862506151199
JPM,bb_width,0.04504253715276718
JPM,log_return_1d,0.03613194450736046
JPM,return_20d,0.036090511828660965
JPM,bb_percent,0.03401218727231026
JPM,dist_from_sma_50,0.03319702297449112
JPM,dist_from_sma_100,0.032570187002420425
JPM,gap,0.03247082978487015
JPM,volume_roc,0.03207313269376755
JPM,return_10d,0.03133535012602806
JPM,return_1d,0.030585553497076035
JPM,volatility_30d,0.028855962678790092
JPM,daily_range,0.02817012183368206
JPM,dist_from_sma_10,0.028060542419552803
JPM,lower_shadow,0.028048064559698105
JPM,body,0.027958128601312637
JPM,dist_from_ema_50,0.02780408225953579
JPM,log_return_5d,0.02704123593866825
JPM,log_return_20d,0.02680613286793232
JPM,minus_di,0.025957439094781876
JPM,dist_from_ema_26,0.02588147111237049
JPM,adx,0.024966254830360413
JPM,volume_ratio,0.0246843621134758
