threshold,gross_return,net_return,sharpe,max_drawdown,n_trades,days_in_market,eligible
0.0,0.40737811883283004,0.30974423451153377,0.8929722751991537,-0.17759521576581905,96,0.556,True
0.0005,0.20374232775465395,0.116784795659443,0.4728280676007129,-0.18652529198441048,100,0.504,True
0.001,0.12914808145986845,0.047510128646520045,0.29550645013385923,-0.2413286030596541,100,0.42,True
0.002,0.12032804199128933,0.04549570628367383,0.287265327150936,-0.19263356949936528,92,0.32,True
0.005,-0.03356972838668526,-0.042258380132007556,-0.5400309019153346,-0.10084615913176442,12,0.024,False
