ticker,model,is_baseline,total_return_pct,annualized_return_pct,sharpe,max_drawdown_pct,turnover,time_in_market,n_periods,excess_vs_buy_hold_pct
SPY,Buy & Hold,True,125.34048195861816,13.881787436536431,0.6973682131997823,33.71727431876231,2.0,1.0,1575,
SPY,Ridge / Logistic,False,5.81956677493018,0.9091520277118237,0.06139478686533272,18.464253459177236,538.0,0.5073015873015873,1575,-119.52091518368798
SPY,Random Forest,False,6.588681869988824,1.0261434506844358,0.055309190812307146,32.91764621606601,334.0,0.8,1575,-118.75180008862934
SPY,XGBoost,False,0.7011910334632994,0.11186157777764993,0.006285196496726234,34.683608172277516,394.0,0.7295238095238096,1575,-124.63929092515485
SPY,Baseline: zero return,True,0.0,0.0,0.0,0.0,0.0,0.0,1575,-125.34048195861816
SPY,Baseline: train-window mean,True,125.34048195861816,13.881787436536431,0.6973682131997823,33.71727431876231,2.0,1.0,1575,0.0
SPY,Baseline: yesterday's return,True,-58.28965698176708,-13.056123102563898,-1.012367057263994,61.02115941088859,776.0,0.5492063492063493,1575,-183.63013894038522
AAPL,Buy & Hold,True,352.5253060036217,27.321826246295245,0.87228973490315,38.515901137414446,2.0,1.0,1575,
AAPL,Ridge / Logistic,False,132.3459342718805,14.44099164770709,0.6985091120720069,23.0361814326746,588.0,0.5028571428571429,1575,-220.1793717317412
AAPL,Random Forest,False,608.1219645364952,36.7783279820068,1.603511910063976,22.58016401394644,274.0,0.7473015873015874,1575,255.59665853287345
AAPL,XGBoost,False,294.7488195900859,24.569389034163724,1.0497264335158671,39.89596594936336,460.0,0.6838095238095238,1575,-57.77648641353585
AAPL,Baseline: zero return,True,0.0,0.0,0.0,0.0,0.0,0.0,1575,-352.5253060036217
AAPL,Baseline: train-window mean,True,352.5253060036217,27.321826246295245,0.87228973490315,38.515901137414446,2.0,1.0,1575,0.0
AAPL,Baseline: yesterday's return,True,-63.04573638727603,-14.724096708146872,-0.6924327154000037,68.64153396890153,796.0,0.5377777777777778,1575,-415.57104239089773
MSFT,Buy & Hold,True,307.1020640567243,25.18506774402407,0.8581258111741352,37.14850433351122,2.0,1.0,1575,
MSFT,Ridge / Logistic,False,84.86417151466469,10.33071682071487,0.4421089058898135,34.084061441925925,558.0,0.5644444444444444,1575,-222.23789254205963
MSFT,Random Forest,False,124.55101150993781,13.817856529644112,0.5348711684401408,38.410860453287526,384.0,0.6984126984126984,1575,-182.5510525467865
MSFT,XGBoost,False,221.43159797655917,20.54082812460729,0.8583862758557238,39.067939967172954,476.0,0.6634920634920635,1575,-85.67046608016514
MSFT,Baseline: zero return,True,0.0,0.0,0.0,0.0,0.0,0.0,1575,-307.1020640567243
MSFT,Baseline: train-window mean,True,307.1020640567243,25.18506774402407,0.8581258111741352,37.14850433351122,2.0,1.0,1575,0.0
MSFT,Baseline: yesterday's return,True,-74.88730759363314,-19.8353456473798,-1.0110683010236574,76.18633760422236,800.0,0.5371428571428571,1575,-381.98937165035744
NVDA,Buy & Hold,True,2147.731369971079,64.54288400570476,1.219568647973723,66.3350920326948,2.0,1.0,1575,
NVDA,Ridge / Logistic,False,412.2866134170955,29.873959504081782,0.7086436012567603,57.2066221162729,584.0,0.6406349206349207,1575,-1735.4447565539836
NVDA,Random Forest,False,1921.6742866201826,61.77588710894828,1.3137935826208522,61.5468389191855,292.0,0.8596825396825397,1575,-226.0570833508964
NVDA,XGBoost,False,366.70268428796726,27.951814133516727,0.683456028778301,69.33363855331629,486.0,0.6952380952380952,1575,-1781.0286856831117
NVDA,Baseline: zero return,True,0.0,0.0,0.0,0.0,0.0,0.0,1575,-2147.731369971079
NVDA,Baseline: train-window mean,True,2147.731369971079,64.54288400570476,1.219568647973723,66.3350920326948,2.0,1.0,1575,0.0
NVDA,Baseline: yesterday's return,True,-21.743260141481194,-3.8468580080641135,-0.10379667266678354,74.88161667027641,796.0,0.5434920634920635,1575,-2169.47463011256
JPM,Buy & Hold,True,128.13043832492284,14.106219702048861,0.47039805431559856,43.62652415444667,2.0,1.0,1575,
JPM,Ridge / Logistic,False,-43.69037626830106,-8.77933791447736,-0.3608564116057506,56.8399764869407,614.0,0.5428571428571428,1575,-171.8208145932239
JPM,Random Forest,False,20.004868814998552,2.9607787315243828,0.10587966184365644,44.04821691442962,326.0,0.7961904761904762,1575,-108.12556950992428
JPM,XGBoost,False,2.2351949464573844,0.35431912343026895,0.013360371628845156,50.71474439719492,446.0,0.7390476190476191,1575,-125.89524337846545
JPM,Baseline: zero return,True,0.0,0.0,0.0,0.0,0.0,0.0,1575,-128.13043832492284
JPM,Baseline: train-window mean,True,128.13043832492284,14.106219702048861,0.47039805431559856,43.62652415444667,2.0,1.0,1575,0.0
JPM,Baseline: yesterday's return,True,-46.26866197673922,-9.460847507778425,-0.48490424744351296,56.37677942736751,772.0,0.5206349206349207,1575,-174.39910030166206
