quantity,n_series,mean_pairwise_corr,design_effect,n_total,n_effective
correctness indicator: always_up,5,0.4053194110127542,2.621277644051017,7875,3004.2601621664508
correctness indicator: boosting,5,0.06342994635783719,1.2537197854313487,7875,6281.3079058894855
discordance vs always_up: boosting,5,0.1517905325614593,1.6071621302458372,7875,4899.941239155139
correctness indicator: forest,5,0.11853133167410657,1.4741253266964263,7875,5342.15094021089
discordance vs always_up: forest,5,0.10674546122686268,1.4269818449074507,7875,5518.6406387046545
correctness indicator: linear,5,0.07451478559798873,1.298059142391955,7875,6066.749767262998
discordance vs always_up: linear,5,0.15766849129683008,1.6306739651873203,7875,4829.291549457819
realised up/down indicator,5,0.4053194110127542,2.621277644051017,7875,3004.2601621664508
realised log return,5,0.6239334862061419,3.4957339448245675,7875,2252.7458108357855
