ticker,model,is_baseline,total_return_pct,annualized_return_pct,sharpe,sharpe_arithmetic,max_drawdown_pct,turnover,time_in_market,n_periods,excess_vs_buy_hold_pct
SPY,Buy & Hold,True,129.9582589764146,14.25200807729199,0.7151911743008403,0.7689063672690964,33.71727431876229,2.0,1.0,1575,
SPY,Ridge / Logistic,False,7.0953514669792925,1.1028269833981197,0.07432810845221365,0.14786861651219674,18.716085053464752,538.0,0.506031746031746,1575,-122.86290750943532
SPY,Random Forest,False,10.623477678419382,1.6285125360971486,0.08802965733813269,0.18033916815572365,32.91764621606601,332.0,0.7993650793650794,1575,-119.33478129799524
SPY,XGBoost,False,3.2051860459718444,0.5060588651070619,0.028392871733324828,0.11783316779099089,34.683608172277516,394.0,0.7301587301587301,1575,-126.75307293044277
SPY,Baseline: zero return,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1575,-129.9582589764146
SPY,Baseline: train-window mean,True,129.9582589764146,14.25200807729199,0.7151911743008403,0.7689063672690964,33.71727431876229,2.0,1.0,1575,0.0
SPY,Baseline: yesterday's return,True,-57.56096287972989,-12.814857144219694,-0.9913818267204925,-0.9951301486230587,61.0211594108887,778.0,0.5492063492063493,1575,-187.5192218561445
AAPL,Buy & Hold,True,349.7473150589592,27.196444783948316,0.8682592265140698,0.9250853588236062,38.515901137414474,2.0,1.0,1575,
AAPL,Ridge / Logistic,False,120.69324397602132,13.502713984043503,0.654010743129577,0.7156798602307023,23.0361814326746,590.0,0.5009523809523809,1575,-229.05407108293787
AAPL,Random Forest,False,613.5143372085444,36.94444890815747,1.610680110311785,1.485660484192622,22.580164013946433,274.0,0.7473015873015874,1575,263.76702214958516
AAPL,XGBoost,False,285.72915095103053,24.10954796243061,1.0305301389671617,1.03970360362512,39.895965949363344,454.0,0.6819047619047619,1575,-64.01816410792867
AAPL,Baseline: zero return,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1575,-349.7473150589592
AAPL,Baseline: train-window mean,True,349.7473150589592,27.196444783948316,0.8682592265140698,0.9250853588236062,38.515901137414474,2.0,1.0,1575,0.0
AAPL,Baseline: yesterday's return,True,-63.3828734286079,-14.849053098463195,-0.6982918225745429,-0.6482837289449384,68.64153396890153,798.0,0.5377777777777778,1575,-413.1301884875671
MSFT,Buy & Hold,True,313.91908093913344,25.518133216879235,0.8691820280728314,0.9214143040661346,37.14850433351126,2.0,1.0,1575,
MSFT,Ridge / Logistic,False,88.98624249788743,10.72070194306991,0.4585503156603176,0.5515524445005817,34.08406144192589,560.0,0.5644444444444444,1575,-224.93283844124602
MSFT,Random Forest,False,138.5141391226847,14.921757928093493,0.5784480451046238,0.6681908531991958,35.93874012738608,386.0,0.6977777777777778,1575,-175.40494181644874
MSFT,XGBoost,False,233.8444060031736,21.27381970431199,0.8884046499205238,0.924364511470182,39.06793996717282,474.0,0.6647619047619048,1575,-80.07467493595985
MSFT,Baseline: zero return,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1575,-313.91908093913344
MSFT,Baseline: train-window mean,True,313.91908093913344,25.518133216879235,0.8691820280728314,0.9214143040661346,37.14850433351126,2.0,1.0,1575,0.0
MSFT,Baseline: yesterday's return,True,-74.54253836843677,-19.660261155685667,-1.0014292384095533,-1.0148244436078755,76.18633760422233,802.0,0.5371428571428571,1575,-388.46161930757023
NVDA,Buy & Hold,True,2225.578567474487,65.44169183718822,1.236056833332086,1.2159225895190748,66.33509203269477,2.0,1.0,1575,
NVDA,Ridge / Logistic,False,430.0289814357168,30.583389952037045,0.7249883849130807,0.8425828501567391,57.20662211627294,584.0,0.6406349206349207,1575,-1795.5495860387703
NVDA,Random Forest,False,1991.6922965926506,62.6595803489042,1.3319050171894384,1.2691871854832177,61.54683891918553,292.0,0.8596825396825397,1575,-233.88627088183648
NVDA,XGBoost,False,364.41602286510795,27.851300846657768,0.680883109877119,0.8062544124102922,69.3336385533163,486.0,0.6952380952380952,1575,-1861.162544609379
NVDA,Baseline: zero return,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1575,-2225.578567474487
NVDA,Baseline: train-window mean,True,2225.578567474487,65.44169183718822,1.236056833332086,1.2159225895190748,66.33509203269477,2.0,1.0,1575,0.0
NVDA,Baseline: yesterday's return,True,-19.032941655416767,-3.321625953415641,-0.08954286742515569,0.09636849195740342,74.88161667027636,796.0,0.5434920634920635,1575,-2244.611509129904
JPM,Buy & Hold,True,152.4212353747408,15.968527307731218,0.5265539673794051,0.6397526482862873,43.62652415444666,2.0,1.0,1575,
JPM,Ridge / Logistic,False,-38.57605718350631,-7.501640484170579,-0.3031771935962871,-0.19227399043804871,57.450536865352305,612.0,0.5422222222222223,1575,-190.99729255824712
JPM,Random Forest,False,27.470567526364103,3.95983633172734,0.1399439473928798,0.2781373613858158,44.04821691442965,322.0,0.7968253968253968,1575,-124.9506678483767
JPM,XGBoost,False,11.096769514850267,1.697957091999558,0.06313897249932164,0.19684618959541766,52.28209539366241,446.0,0.7384126984126984,1575,-141.32446585989052
JPM,Baseline: zero return,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1575,-152.4212353747408
JPM,Baseline: train-window mean,True,152.4212353747408,15.968527307731218,0.5265539673794051,0.6397526482862873,43.62652415444666,2.0,1.0,1575,0.0
JPM,Baseline: yesterday's return,True,-40.71648232004117,-8.02507667691643,-0.4008200998053988,-0.31682688905829803,56.37677942736738,774.0,0.5206349206349207,1575,-193.13771769478197
