ticker,model,level_R2,level_RMSE_usd,return_R2,n
SPY,Ridge,0.9971119420943015,4.7575931096806094,-0.05437385616553092,1575
SPY,Random Forest,0.5529593144887366,59.19129932632154,-0.006428850367635519,1575
SPY,Persistence: yhat(t+1) = Close(t),0.9978071643249731,4.145599967612876,-1.2822899395449565,1575
AAPL,Ridge,0.9977688378606334,2.5604366783336476,-0.017274894796840412,1575
AAPL,Random Forest,0.6385208730126797,32.59042967928993,0.006983464940569006,1575
AAPL,Persistence: yhat(t+1) = Close(t),0.998086955223477,2.370888016569964,-1.2005698855165305,1575
MSFT,Ridge,0.9977750417633329,4.608640220952135,-0.04024159635714519,1575
MSFT,Random Forest,0.5800934902459115,63.31231267175088,0.0007076753941254177,1575
MSFT,Persistence: yhat(t+1) = Close(t),0.9980928469980118,4.266823141886408,-1.3465247200155588,1575
NVDA,Ridge,0.9979010906848148,1.5045081948344718,-0.06335906228873789,1575
NVDA,Random Forest,0.3179887408589033,27.120237740270447,-0.007576274151487317,1575
NVDA,Persistence: yhat(t+1) = Close(t),0.9980629783340674,1.4453231513942872,-1.1461674032481932,1575
JPM,Ridge,0.9955775600710233,2.2848295727645915,-0.034387009234394306,1575
JPM,Random Forest,0.5680675011717831,22.58035580319288,-0.008426685867672479,1575
JPM,Persistence: yhat(t+1) = Close(t),0.9961211747232684,2.1397988438541744,-1.2036583168742192,1575
