ticker,model,cost_bps_per_side,strategy_total_return_pct,strategy_annualized_pct,strategy_sharpe,strategy_max_drawdown_pct,buy_hold_total_return_pct,buy_hold_sharpe,excess_vs_buy_hold_pct,turnover
NVDA,Ridge / Logistic,0,187.16986081967812,38.34574371486001,0.9525288937615732,49.78194856573268,591.4022762194725,1.472644965323843,-404.2324153997944,326.0
NVDA,Ridge / Logistic,5,143.9980978447989,31.581801449008793,0.7844315235862701,52.171742531767826,590.7171245764995,1.4716733776151534,-446.7190267317006,326.0
NVDA,Ridge / Logistic,10,107.29967854077613,25.145420714940702,0.624444378880894,54.44892801973188,590.0323125538409,1.4707007975295112,-482.7326340130648,326.0
NVDA,Ridge / Logistic,20,49.59486201970728,13.193246511346835,0.32741522888936847,58.68624474323468,588.6637073694653,1.4687526653291487,-539.068845349758,326.0
NVDA,Random Forest,0,497.94732680629636,73.36970444642736,1.6383803961446277,53.57306981862937,591.4022762194725,1.472644965323843,-93.45494941317611,280.0
NVDA,Random Forest,5,420.0587596558165,66.08247962233946,1.4761007949561187,55.72880072057671,590.7171245764995,1.4716733776151534,-170.65836492068297,280.0
NVDA,Random Forest,10,352.2844523084072,59.0981485648723,1.3203972473545842,57.78544070996459,590.0323125538409,1.4707007975295112,-237.74786024543374,280.0
NVDA,Random Forest,20,242.0103828227629,45.988881676737314,1.027764355774986,61.61927919908763,588.6637073694653,1.4687526653291487,-346.65332454670244,280.0
NVDA,XGBoost,0,251.95666142076917,47.28228718651777,1.173745922816849,41.287751473498155,591.4022762194725,1.472644965323843,-339.44561479870333,264.0
NVDA,XGBoost,5,208.51377092220739,41.431457401823614,1.0287381802155287,43.73472592461713,590.7171245764995,1.4716733776151534,-382.2033536542921,264.0
NVDA,XGBoost,10,170.41534746604552,35.81030323417944,0.8892929525348339,46.080867724847025,590.0323125538409,1.4707007975295112,-419.6169650877954,264.0
NVDA,XGBoost,20,107.7107813929929,25.22173143721178,0.626362254090213,50.48691816898212,588.6637073694653,1.4687526653291487,-480.95292597647244,264.0
