Date,Open,High,Low,Close,Volume
2015-01-02,170.472512,170.885518,168.655274,169.687790,121465900
2015-01-05,168.647066,168.812266,166.317716,166.623337,169632600
2015-01-06,166.928919,167.449311,164.260901,165.053879,209151400
2015-01-07,166.375567,167.449386,165.929525,167.110718,125346700
2015-01-08,168.514901,170.290837,168.498390,170.076065,147217800
2015-01-09,170.489057,170.505581,168.101881,168.713135,158567300
2015-01-12,168.845316,169.002261,166.788539,167.391525,144396100
2015-01-13,168.605761,169.729139,165.623854,166.920700,214553300
2015-01-14,164.913483,166.111212,164.021400,165.912964,192991100
2015-01-15,166.548976,166.862852,164.277440,164.393082,176613900
2015-01-16,164.186644,166.705986,164.004920,166.549042,211879600
2015-01-20,167.184986,167.449316,165.342981,166.904144,130991100
2015-01-21,166.441648,168.225839,165.979082,167.746750,122942700
2015-01-22,168.498399,170.373440,167.127215,170.241287,174356000
2015-01-23,169.985185,170.241260,169.175696,169.307861,117516800
2015-01-26,169.093074,169.795177,168.382702,169.704315,92009700
2015-01-27,167.655815,168.605725,166.639823,167.465836,134044600
2015-01-28,168.647037,168.746155,165.128227,165.318207,168514300
2015-01-29,165.516478,167.102421,164.112246,166.846359,173585400
2015-01-30,165.673449,166.995063,164.483989,164.748306,197729700
2015-02-02,165.243903,166.879406,163.434933,166.788544,163107000
2015-02-03,167.680609,169.208738,167.308906,169.200470,124212900
2015-02-04,168.440557,169.646541,168.101888,168.556198,134306700
2015-02-05,169.216995,170.406456,169.142657,170.257767,97953200
2015-02-06,170.621225,171.182921,169.266565,169.786957,125672000
2015-02-09,169.142741,169.861368,168.622349,169.027100,87219000
2015-02-10,170.059573,171.083821,169.068347,170.827759,96164200
2015-02-11,170.662532,171.356380,170.018243,170.926849,91087800
2015-02-12,171.719810,172.628429,170.959880,172.570602,97545900
2015-02-13,172.694559,173.330580,172.438484,173.281021,93670400
2015-02-17,172.967145,173.727088,172.719351,173.553619,76968200
2015-02-18,173.181857,173.644422,172.917526,173.570084,80652900
2015-02-19,172.975316,173.809584,172.834895,173.446136,91462500
2015-02-20,173.033224,174.561353,172.413714,174.487015,140896400
2015-02-23,174.239146,174.462173,173.859175,174.462173,74411100
2015-02-24,174.387858,175.156057,174.090493,174.957809,72472300
2015-02-25,174.833922,175.313012,174.470475,174.809143,73061700
2015-02-26,174.718241,174.875186,173.999602,174.602600,72697900
2015-02-27,174.503458,174.767789,173.958300,174.007858,108076000
2015-03-02,174.107010,175.164305,174.057451,175.106491,87491400
2015-03-03,174.676988,175.156077,173.528830,174.387878,110325800
2015-03-04,173.793131,173.867481,172.686276,173.652710,114497200
2015-03-05,173.974789,174.123477,173.338768,173.842636,76873000
2015-03-06,172.983633,173.413163,171.067290,171.397690,188128000
2015-03-09,171.595939,172.463242,171.438994,172.108063,89818900
2015-03-10,170.745128,170.827721,169.274813,169.316116,157121300
2015-03-11,169.572177,169.745645,168.837026,168.919632,110145700
2015-03-12,169.547403,171.133346,169.497844,171.067276,93993500
2015-03-13,170.794688,171.752854,168.985718,170.018234,162410900
2015-03-16,170.745155,172.380657,170.043039,172.289795,136099200
2015-03-17,171.554698,172.157684,170.968223,171.777725,94510400
2015-03-18,171.306771,174.511704,170.670738,173.842636,228808500
2015-03-19,173.429654,173.850916,172.661456,173.049683,117917300
2015-03-20,173.996437,175.083342,173.813902,174.577225,177715100
2015-03-23,174.585487,175.157982,174.237015,174.237015,71784500
2015-03-24,174.112586,174.568911,173.191618,173.257996,77805300
2015-03-25,173.465450,173.697765,170.677657,170.719131,159521700
2015-03-26,170.055371,171.225239,169.358413,170.312576,153067200
2015-03-27,170.196351,170.876699,170.005511,170.702469,118939000
2015-03-30,171.731312,173.083727,171.714727,172.785034,96180400
2015-03-31,171.963647,172.660604,171.216921,171.274994,126768700
2015-04-01,171.241791,171.266681,169.681951,170.669296,137303600
2015-04-02,170.602950,171.731342,170.420415,171.283310,86900900
2015-04-06,170.395486,172.950964,170.262744,172.436554,114368200
2015-04-07,172.461498,173.208223,171.947088,171.980270,81236300
2015-04-08,172.204270,173.000775,171.814310,172.561035,89351900
2015-04-09,172.395111,173.556686,171.905591,173.324371,85548900
2015-04-10,173.573318,174.311751,173.374198,174.270264,72722900
2015-04-13,174.129129,174.759709,173.432184,173.481964,74436600
2015-04-14,173.282896,173.996439,172.660621,173.813904,75099900
2015-04-15,174.278503,175.099898,174.195528,174.593781,99529300
2015-04-16,174.261927,175.050139,174.062794,174.544022,68934900
2015-04-17,173.357525,173.598133,171.756198,172.536118,191113200
2015-04-20,173.457124,174.444470,173.374162,174.112595,92189500
2015-04-21,174.792893,174.950538,173.606428,173.905121,72559800
2015-04-22,174.245312,174.942270,173.324345,174.759735,78264600
2015-04-23,174.361503,175.846674,174.245346,175.199509,102585900
2015-04-24,175.614323,175.871528,175.157986,175.606018,61327400
2015-04-27,176.170246,176.294696,174.685075,174.875916,79358100
2015-04-28,174.851036,175.481604,173.681156,175.431824,86863500
2015-04-29,174.543950,175.307272,173.905090,174.709900,125684900
2015-04-30,174.137462,174.527422,172.262332,172.959290,161304900
2015-05-01,173.739201,174.875899,173.639641,174.834412,103399700
2015-05-04,175.257577,175.913048,175.149725,175.332260,70927200
2015-05-05,175.091637,175.448415,173.183324,173.324371,113326200
2015-05-06,173.871988,174.178973,171.548825,172.610840,135060200
2015-05-07,172.511241,173.722609,172.179366,173.299454,88244900
2015-05-08,174.967161,175.780264,174.884186,175.581131,155877300
2015-05-11,175.539667,175.805164,174.668479,174.743149,75708100
2015-05-12,173.913383,174.759680,173.091975,174.220367,119727600
2015-05-13,174.627025,175.249300,174.021347,174.253662,94667900
2015-05-14,175.265869,176.161946,174.992066,176.070679,95934000
2015-05-15,176.261505,176.402553,175.780278,176.261505,76510100
2015-05-18,176.095509,177.057951,176.029132,176.809052,74549700
2015-05-19,176.925250,177.199052,176.468912,176.751007,72114600
2015-05-20,176.850597,177.373312,176.311297,176.626587,76857500
2015-05-21,176.485534,177.348416,176.319583,177.140991,64764600
2015-05-22,176.759325,177.174175,176.651472,176.717850,57433500
2015-05-26,176.228313,176.651468,174.402975,174.817825,124308600
2015-05-27,175.274126,176.709503,174.867568,176.477188,93214000
2015-05-28,176.170211,176.385929,175.589424,176.278076,74974600
2015-05-29,176.211740,176.253215,174.917410,175.182907,124919600
2015-06-01,175.846627,176.178502,174.751417,175.539642,93338800
2015-06-02,175.083338,176.054085,174.461063,175.365433,91531000
2015-06-03,175.896456,176.452353,175.340558,175.830078,87820900
2015-06-04,175.124784,175.780241,174.029574,174.344864,151882800
2015-06-05,174.195559,174.718274,173.390749,174.046219,121704700
2015-06-08,173.938346,174.087699,172.901221,172.975891,89063300
2015-06-09,172.950928,173.490240,172.320360,172.950928,105034700
2015-06-10,173.714325,175.406921,173.656253,175.025253,134551300
2015-06-11,175.465000,175.971117,175.232685,175.589462,73876400
2015-06-12,174.768061,175.465006,173.971543,174.245346,135382400
2015-06-15,173.108606,173.780661,172.403356,173.498566,124384200
2015-06-16,173.349217,174.527403,173.174987,174.444427,85308200
2015-06-17,174.726562,175.332253,173.706035,174.726562,126708600
2015-06-18,175.323949,177.008240,174.759759,176.543610,165867900
2015-06-19,176.301839,176.376872,175.384724,175.759903,130478700
2015-06-22,176.676987,177.243921,176.451875,176.660309,70696000
2015-06-23,176.868733,177.118857,176.393510,176.785355,68476800
2015-06-24,176.518609,176.893787,175.476439,175.501450,92307300
2015-06-25,176.001672,176.126727,174.892801,174.967834,97107400
2015-06-26,175.326308,175.568098,174.384195,174.934464,104174800
2015-06-29,173.458798,174.942847,171.191034,171.266068,202621300
2015-06-30,172.800100,172.850135,171.149307,171.624542,182925100
2015-07-01,173.191985,173.442108,172.216515,173.000229,135979900
2015-07-02,173.475429,173.642174,172.424914,172.841782,104373700
2015-07-06,171.557837,173.125252,171.357736,172.349884,117975400
2015-07-07,172.549988,173.558802,170.173836,173.433746,173820200
2015-07-08,172.099793,172.383260,170.290588,170.524033,164020100
2015-07-09,172.616683,172.875152,170.724112,170.832489,144113100
2015-07-10,172.825109,173.400388,170.874170,172.983521,129456900
2015-07-13,174.242524,175.001215,174.200835,174.892838,106069400
2015-07-14,174.851140,175.960011,174.792773,175.651520,81709600
2015-07-15,175.693184,176.151741,175.117904,175.593140,97914100
2015-07-16,176.643608,177.002121,176.401830,177.002121,106683300
2015-07-17,176.993825,177.210605,176.585303,177.152237,89030000
2015-07-20,177.377374,177.735874,176.927162,177.243973,70446800
2015-07-21,177.110529,177.368998,176.243449,176.543594,77965000
2015-07-22,175.859915,176.560263,175.826571,176.226761,88667900
2015-07-23,176.360183,176.460227,174.876134,175.234634,90509100
2015-07-24,175.334694,175.393049,173.083610,173.417099,117755000
2015-07-27,172.533378,173.041958,171.966431,172.408310,132361100
2015-07-28,173.241980,174.667674,172.416589,174.525940,123544800
2015-07-29,174.651036,175.951662,174.509302,175.726562,105791300
2015-07-30,175.217950,175.934964,174.600981,175.768219,91304400
2015-07-31,176.268485,176.293496,175.217982,175.501450,103266900
2015-08-03,175.468099,175.526454,173.959026,174.909485,113965700
2015-08-04,174.834431,175.292988,174.084074,174.567642,81820800
2015-08-05,175.459710,176.176723,174.859419,175.142899,85786800
2015-08-06,175.326376,175.434766,173.125313,173.708939,116030800
2015-08-07,173.550456,173.700523,172.474930,173.375366,117858000
2015-08-10,174.484197,175.643089,174.484197,175.559723,80270700
2015-08-11,174.225770,174.642638,173.216944,173.975647,126081400
2015-08-12,172.675022,174.367505,171.215985,174.184082,172123700
2015-08-13,174.025671,174.709340,173.425380,173.967316,89383300
2015-08-14,173.775610,174.676046,173.633876,174.601013,72786500
2015-08-17,174.009047,175.576462,173.550489,175.576462,79072600
2015-08-18,175.301316,175.651484,174.834426,175.067871,71692700
2015-08-19,174.325821,175.092856,172.875128,173.683853,172946000
2015-08-20,172.174782,173.658831,169.998731,170.057098,194327900
2015-08-21,168.189522,170.032084,164.679502,164.937958,346588500
2015-08-24,156.317116,164.646127,152.073391,157.992920,507244300
2015-08-25,162.937051,162.953729,155.841961,156.133774,369833100
2015-08-26,160.144000,162.403418,157.050834,162.128296,339257000
2015-08-27,164.262644,166.263605,162.753584,166.138550,274143900
2015-08-28,165.496553,166.613756,165.012985,166.146866,160414400
2015-08-31,165.171442,166.021856,164.254327,164.804596,163298800
2015-09-01,161.011034,162.386705,159.018406,159.885498,256000400
2015-09-02,162.261706,162.962054,160.427489,162.920364,160269300
2015-09-03,163.629024,165.121419,162.545178,163.037079,152087800
2015-09-04,160.785993,161.628062,159.752156,160.569214,207081000
2015-09-08,163.362219,164.754556,162.720238,164.604477,116025700
2015-09-09,166.180278,166.305334,162.036609,162.403442,149347700
2015-09-10,162.211690,164.429431,161.953233,163.287216,158611100
2015-09-11,162.895339,164.095921,162.186658,164.029221,119691200
2015-09-14,164.204261,164.254283,162.936979,163.420547,79452000
2015-09-15,163.920810,165.905105,163.378887,165.463226,113806200
2015-09-16,165.763394,167.089031,165.421559,166.897263,99581600
2015-09-17,166.763824,169.156642,166.146855,166.522034,276046600
2015-09-18,164.018749,166.507806,163.390196,163.800842,223657500
2015-09-21,164.630589,165.669788,163.599766,164.647354,105726200
2015-09-22,162.485082,162.971165,161.378823,162.510223,153890900
2015-09-23,162.677839,163.147156,161.672157,162.250427,92790600
2015-09-24,161.035250,162.124744,159.702721,161.663803,159378800
2015-09-25,163.122028,163.423734,160.750287,161.621887,155054800
2015-09-28,160.725142,160.834095,157.255531,157.565613,178515900
2015-09-29,157.783509,159.015474,156.660485,157.657791,159045600
2015-09-30,159.543510,160.767099,158.764110,160.599487,163452000
2015-10-01,160.976527,161.320138,159.082492,161.018433,131079000
2015-10-02,159.040647,163.448893,158.495893,163.423752,211003300
2015-10-05,164.647331,166.558131,164.538378,166.331848,126320800
2015-10-06,166.197748,166.759254,165.099878,165.761948,110274500
2015-10-07,166.692190,167.471602,165.502131,167.119614,124307300
2015-10-08,166.734081,168.913069,166.432375,168.628128,153055200
2015-10-09,168.770620,169.206407,168.100161,168.728714,107069200
2015-10-12,168.804143,169.089083,168.376731,168.887955,56395600
2015-10-13,168.158847,169.424341,167.656012,167.823624,88038700
2015-10-14,167.764925,168.343196,166.725726,167.019043,99106200
2015-10-15,167.681179,169.591979,167.312426,169.583603,134142200
2015-10-16,169.985861,170.371366,169.223214,170.354614,114580100
2015-10-19,169.709268,170.438385,169.399186,170.438385,76523900
2015-10-20,170.002565,170.832247,169.751142,170.220459,78448500
2015-10-21,170.639520,170.790366,168.996896,169.164520,102038000
2015-10-22,170.111539,172.231856,169.164528,172.022339,174911700
2015-10-23,173.690081,174.276727,172.893916,173.907974,144442300
2015-10-26,173.731984,173.790642,173.111807,173.480560,69033000
2015-10-27,172.810165,173.480624,172.466553,173.145401,77905800
2015-10-28,173.480618,175.139994,172.818548,175.114853,135906700
2015-10-29,174.611951,175.382974,174.494622,175.014221,90525500
2015-10-30,175.207034,175.525505,174.100787,174.260010,131076900
2015-11-02,174.586811,176.514362,174.461092,176.321609,86270800
2015-11-03,175.969644,177.385985,175.743361,176.832855,95246100
2015-11-04,177.126234,177.251939,175.760175,176.296539,96224500
2015-11-05,176.355188,176.816129,175.232176,176.120529,78408700
2015-11-06,175.776925,176.263007,174.704195,176.028336,110471500
2015-11-09,175.416519,175.567379,173.438673,174.385696,131008700
2015-11-10,173.907957,174.821463,173.639781,174.787933,75874600
2015-11-11,175.056200,175.106482,174.033752,174.100800,67846000
2015-11-12,173.061518,173.530836,171.653566,171.670319,121315200
2015-11-13,171.259716,171.527892,169.658998,169.742798,153577100
2015-11-16,169.558413,172.382707,169.441071,172.324036,117645200
2015-11-17,172.634165,173.514128,171.703906,172.198364,121123700
2015-11-18,172.676009,175.072890,172.634115,174.930420,121342500
2015-11-19,174.813089,175.198607,174.486242,174.779572,88220500
2015-11-20,175.533849,176.095354,175.039390,175.416519,94011500
2015-11-23,175.475193,175.978027,174.754452,175.215393,64931200
2015-11-24,174.209704,175.852328,173.824199,175.450058,98874400
2015-11-25,175.575758,175.776900,175.165099,175.424911,51980100
2015-11-27,175.517084,175.827179,175.039391,175.626038,37317800
2015-11-30,175.785280,175.902609,174.787974,174.896927,112822700
2015-12-01,175.525498,176.682039,175.248933,176.564697,97858400
2015-12-02,176.514428,176.832899,174.511439,174.762863,108441300
2015-12-03,175.014262,175.282438,171.594933,172.315674,166224200
2015-12-04,172.315658,175.969645,172.315658,175.676315,192913900
2015-12-07,175.349493,175.768528,173.648211,174.612000,102027100
2015-12-08,173.053154,174.561671,172.458119,173.438660,103372400
2015-12-09,172.801736,174.888523,171.117206,172.089371,162401500
2015-12-10,172.156425,173.840942,171.921766,172.533554,116128900
2015-12-11,170.421585,171.083655,168.879526,169.189621,211173300
2015-12-14,169.348907,170.170213,167.572189,170.044495,182385200
2015-12-15,171.553040,172.734723,170.019370,171.829605,154069600
2015-12-16,172.952626,174.645532,171.636862,174.343826,197017000
2015-12-17,174.653929,174.720976,171.670399,171.687164,173092500
2015-12-18,170.946920,171.081799,168.468326,168.628510,251393500
2015-12-21,169.800386,170.196625,168.687543,170.019577,99094300
2015-12-22,170.904717,171.857377,169.918341,171.562302,111026200
2015-12-23,172.565545,173.728969,172.472808,173.686813,110987200
2015-12-24,173.433952,173.948218,173.181032,173.400223,48539600
2015-12-28,172.708892,173.046110,171.933280,173.003967,65899900
2015-12-29,174.099899,175.179012,174.066182,174.850220,92640700
2015-12-30,174.605823,174.690134,173.467689,173.611008,63317700
2015-12-31,172.936544,173.577264,171.874283,171.874283,114877900
2016-01-04,169.024738,169.479984,167.422920,169.471558,222353500
2016-01-05,169.791865,170.213394,168.653744,169.758148,110845800
2016-01-06,167.212129,168.662190,166.588274,167.616806,152112600
2016-01-07,164.674511,166.453364,163.207586,163.595398,213436100
2016-01-08,164.556594,165.113016,161.513153,161.799789,209817200
2016-01-11,162.718662,163.055893,160.029317,161.959915,187941300
2016-01-12,163.401494,164.016923,161.142092,163.266602,172330500
2016-01-13,163.932623,164.278280,158.815268,159.194641,221168900
2016-01-14,159.801666,162.929405,158.208287,161.808136,240795600
2016-01-15,157.457973,159.135650,156.404150,158.334747,324846400
2016-01-19,160.147320,160.273773,156.977413,158.545502,195244400
2016-01-20,155.991056,158.073411,152.610397,156.513748,286547800
2016-01-21,156.985854,159.228379,155.662247,157.390518,195772900
