Date,Open,High,Low,Close,Volume
2015-01-02,39.522487,40.166230,39.420844,39.607189,27913900
2015-01-05,39.276837,39.581769,39.175194,39.242958,39673900
2015-01-06,39.285313,39.598714,38.573807,38.666981,36447900
2015-01-07,38.946484,39.353058,38.531440,39.158241,29114100
2015-01-08,39.598712,40.445744,39.573303,40.310219,29645200
2015-01-09,40.327164,40.505040,39.725772,39.971409,23944200
2015-01-12,40.166203,40.267849,39.268352,39.471638,23651900
2015-01-13,39.785034,40.581242,39.014236,39.268345,35270600
2015-01-14,38.929543,39.166713,38.641552,38.929543,29719600
2015-01-15,39.149784,39.285309,38.463688,38.522980,32750800
2015-01-16,38.378982,39.200600,38.260395,39.166721,35695300
2015-01-20,39.217545,39.514007,38.599212,39.293777,36161900
2015-01-21,38.912609,39.082016,38.522975,38.895668,39081100
2015-01-22,39.285308,39.929051,39.031200,39.920582,35898000
2015-01-23,40.115406,40.140816,39.641067,39.962940,26211600
2015-01-26,39.810463,39.920578,39.166720,39.818932,42525500
2015-01-27,36.379990,36.591747,35.668483,36.134350,169164000
2015-01-28,36.202126,36.244477,34.863815,34.889225,84507100
2015-01-29,34.668986,35.676952,34.550403,35.583778,63585300
2015-01-30,35.194142,35.219555,34.177704,34.220058,78004900
2015-02-02,34.381004,35.041687,34.076072,34.965454,50352500
2015-02-03,35.261917,35.516026,34.770637,35.236504,52082400
2015-02-04,35.524498,35.753197,35.033222,35.439796,41614800
2015-02-05,35.761658,36.117409,35.456726,35.956474,36548200
2015-02-06,36.151302,36.244476,35.702377,35.922604,34616600
2015-02-09,35.778599,36.202114,35.753185,35.880241,31381100
2015-02-10,36.202114,36.227524,35.727775,36.083527,29670700
2015-02-11,36.125877,36.125877,35.753182,35.897179,38262500
2015-02-12,36.134346,36.498569,36.007290,36.498569,33268800
2015-02-13,36.744209,37.159252,36.549392,37.159252,40264900
2015-02-17,37.509012,37.534602,36.843623,37.176319,33695700
2015-02-18,37.218975,37.278689,37.014239,37.133667,27111700
2015-02-19,36.835099,37.133669,36.724201,37.108078,27603400
2015-02-20,37.116592,37.432227,36.928922,37.415165,29721100
2015-02-23,37.278690,37.696687,37.236038,37.662567,32518800
2015-02-24,37.662562,37.790519,37.466356,37.611378,25271700
2015-02-25,37.491954,37.611382,37.363994,37.526077,29759800
2015-02-26,37.526079,37.730811,37.440771,37.585793,28957300
2015-02-27,37.645498,37.705212,37.244559,37.406639,33807700
2015-03-02,37.253098,37.696690,37.150732,37.432243,31924000
2015-03-03,37.159273,37.389599,36.758334,36.920414,31748600
2015-03-04,36.690079,36.860692,36.579184,36.732735,25748700
2015-03-05,36.741252,36.886274,36.527987,36.775375,23193500
2015-03-06,36.681551,36.775388,35.956452,36.135593,36248800
2015-03-09,35.990559,36.792436,35.990559,36.553577,32108000
2015-03-10,36.127059,36.434161,35.854080,35.854080,39159700
2015-03-11,36.092943,36.144125,35.692004,35.811432,32215300
2015-03-12,35.256942,35.529921,34.856003,34.992493,59992500
2015-03-13,34.719507,35.376363,34.642731,35.299587,58007700
2015-03-16,35.376369,35.521387,35.214285,35.453144,35273500
2015-03-17,35.291071,35.683481,35.103400,35.572582,31673400
2015-03-18,35.342247,36.536531,35.256942,36.255020,44194800
2015-03-19,36.050284,36.331795,36.016164,36.075878,33879100
2015-03-20,36.306195,36.664479,36.246482,36.579174,71904500
2015-03-23,36.579176,36.792441,36.493868,36.562115,26246100
2015-03-24,36.493875,36.826568,36.468285,36.596245,25513300
2015-03-25,36.613294,36.621826,35.350767,35.367828,43469900
2015-03-26,35.163104,35.495797,34.907184,35.154572,37495600
2015-03-27,35.077794,35.342243,34.830409,34.949837,34401400
2015-03-30,35.060743,35.436091,34.898662,34.941315,35049700
2015-03-31,34.787757,35.001021,34.583024,34.685390,34887200
2015-04-01,34.634199,34.770688,34.386814,34.736568,36865300
2015-04-02,34.685374,34.753620,34.224722,34.369743,37487500
2015-04-06,34.412413,35.640818,34.275924,35.444614,39223700
2015-04-07,35.495786,35.751703,35.239869,35.427540,28809400
2015-04-08,35.367837,35.564040,35.009553,35.333714,24753400
2015-04-09,35.188688,35.504319,35.188688,35.384892,25723900
2015-04-10,35.512855,35.785833,35.325181,35.589630,28022000
2015-04-13,35.316662,35.879681,35.308129,35.623760,30276700
